abat/o	abbot
lob/o	lobe
lod/o	half an ounce
log/i	entice
logaritm/o	
logik/o	logic
logogrif/o	
loĝ/i	dwell, lodge, live  AK
loĝi/o	lodge, box (theatre)  AK
lojal/a	loyal
lojt/o	eel-pout, lote
lok/o	place
lokomobil/o	portable engine
lokomotiv/o	locomotive
lol/o	tare (plant)  AK
London/o	
long/a	long
longitud/o	longitude
lonicer/o	honey-suckle
lord/o	Lord (British)
lorn/o	perspective-glass
lot/o	cast lots
loteri/o	lottery
lotus/o	lotus
lozanĝ/o	lozenge (heraldry)
lu/i	hire, take on rent  AK
lubrik/i	to lubricate
lucern/o	lamp (in church)
lud/i	play
Ludovik/o	
luk/o	1/a) dormer-window, b) trap-door, c) air-hole, ventilator; 2/a) hatchway, b) port-hole; 3/ man-hole
luks/o	luxury  AK
lukt/i	to wrestle
lul/i	lull asleep, rock
lum/i	shine, give light  AK
lumb/o	loins, haunch
lumbrik/o	earth-worm
lun/o	moon
lunatik/o	lunatic
lund/o	Monday
lup/o	wolf
lupol/o	hops
lustr/o	lustre, chandelier
lut/i	solder
Luter/o	
lutr/o	common otter
mac/o	unleavened bread
maĉ/i	chew
madon/o	Madonna
magazen/o	shop, store, warehouse  AK
magi/o	magic, black art
magnet/o	magnet
magnetism/o	magnetism
magnetofon/o	
mahagon/o	mahogany
maiz/o	maize
Maj/o	May
majest/a	majestic, dignified  AK
majolik/o	
majonez/o	
major/o	
majstr/o	master (of his art)  AK
majuskl/o	
makadam/o	
makaron/o	macaroon
makaroni/o	macaroni
makler/i	act as broker, deal  AK
maksim/o	maxim
maksimum/o	maximum
makul/o	stain
makzel/o	jaw-bone, cheek-bone
malakit/o	
malari/o	
maleol/o	ankle
malic/a	malicious
malt/o	malt
malv/o	mallow
mam/o	breast, udder  AK
mamut/o	
man/o	hand
mana/o	manna
mandaren/o	
mandarin/o	
mandat/o	mandate
mandolin/o	mandoline
mang/o	
mangan/o	manganese
manĝ/i	eat
mani/o	mania
manier/o	manner
manifest/i	manifesto
manifestaci/o	manifestation
manik/o	sleeve
maniok/o	
manipul/i	
mank/i	want, lack  AK
manometr/o	
manovr/i	manoeuvre (milit. and nav.)  AK
mansard/o	
mantel/o	mantle
manufaktur/o	
manuskript/o	manuscript
map/o	map
mar/o	sea
marasm/o	
marcipan/o	marzipan (almond paste)  AK
marĉ/o	swamp, marsh
marĉand/i	bargain (vb.)  AK
mard/o	Tuesday
margarin/o	margarine
marĝen/o	margin
Mari/o	
marin/i	to marinade, pickle
marionet/o	puppet
mark/o	mark
markiz/o	marquis
markot/o	layer (hort.)  AK
marmelad/o	marmalade
marmor/o	marble
marmot/o	marmot
Marok/o	
maroken/o	morocco leather  AK
marŝ/i	march, walk
marŝal/o	marshal
Mart/o	March
martel/o	hammer
martir/o	martyr
mas/o	mass
masaĝ/o	massage
masiv/a	massive
mask/o	mask
mason/i	build with stone
mast/o	mast
mastik/o	mastic, putty  AK
mastr/o	master (of house), host  AK
maŝ/o	mesh
maŝin/o	machine
mat/o	mat
matador/o	
mate/o	
matematik/o	mathematics
maten/o	morning
materi/o	matter (substance)
material/o	material
matrac/o	mattress
matric/o	
matur/a	mature, ripe  AK
maŭzole/o	
mazurk/o	mazurka
mebl/o	furniture
meĉ/o	wick
medal/o	medal
medalion/o	medallion
medi/o	sphere of life, circle, medium
medicin/o	medicine
medikament/o	
medit/i	reflect, meditate
Mediterane/o	Mediterranean
medium/o	
medol/o	marrow, medulla (anat., bot.)
meduz/o	medusa
meĥanik/o	mechanics
meĥanism/o	mechanism
mejl/o	mile
mekanik/o	mechanics
mekanism/o	mechanism
Meksik/o	
mel/o	badger
melankoli/o	melancholy
melas/o	molasses
meleagr/o	turkey
melis/o	balm mint
melk/i	milk (vb.)
melodi/o	melody
melodram/o	melodrama
melon/o	melon
melongen/o	
membr/o	member, limb  AK
membran/o	membrane
memor/i	remember  AK
menci/i	to mention
mend/i	bespeak, give an order  AK
mens/o	intellect, mind
mensog/i	tell a lie
menstru/i	
ment/o	mint
menton/o	chin
mentor/o	
menu/o	menu
meridian/o	
merit/i	merit
meriz/o	bird-cherry
merkat/o	market
merkred/o	Wednesday
merl/o	blackbird
merlang/o	whiting
mes/o	mass
mesaĝ/o	
mesi/o	Messiah
mespil/o	medlar
met/i	put, place
metafizik/o	metaphysics
metafor/o	metaphor
metal/o	metal
metalurgi/o	metallurgy
metamorfoz/o	metamorphosis
metempsikoz/o	
meteor/o	
meteorolog/o	
meteorologi/o	
meti/o	handicraft
metod/o	method
metr/o	meter
metrik/o	
metronom/o	
metropol/o	
mev/o	sea-gull
mez/o	middle
mezur/i	measure
miasm/o	miasma
miaŭ/i	mew
miel/o	honey
mien/o	mien, air
migdal/o	almond
migr/i	migrate
Miĥael/o	
mikrob/o	
mikrofon/o	
mikrometr/o	
mikroskop/o	
miks/i	mix
mild/a	gentle, mild
mili/o	millet
miliard/o	thousand millions
miligram/o	
milimetr/o	
milion/o	
milit/i	make war  AK
milv/o	kite
mimik/o	mimicry
mimoz/o	
min/o	mine
minac/i	menace, threaten  AK
minaret/o	minaret
mineral/o	mineral
mineralog/o	
mineralogi/o	
miniatur/o	miniature
minimum/o	minimum
ministeri/o	ministry (pol.)
ministr/o	minister (of state)
minuskl/o	
minut/o	minute
miogal/o	musk-rat
miop/a	short-sighted  AK
miozot/o	forget-me-not
mir/i	wonder
mirabel/o	
miraĝ/o	
mirakl/o	miracle
mirh/o	myrrh
miriad/o	myriad
miriametr/o	
mirt/o	myrtle
mirtel/o	bilberry
misi/o	mission
mister/o	mystery
mistifik/i	to hoax, to fool
mistik/o	
mit/o	myth
mitolog/o	
mitologi/o	mythology
mitr/o	mitre
mitul/o	mussel
mizer/o	distress, misery
mobiliz/i	mobilise
mod/o	fashion, mood (gram.)  AK
model/o	model
modem/o	
moder/a	moderate
modern/a	modern
modest/a	modest
modif/i	to modify
modul/i	modulate
mok/i	mock, ridicule  AK
mol/a	soft
molekul/o	molecule
molusk/oj	mollusc
moment/o	moment
mon/o	money
monaĥ/o	monk, friar
monarĥ/o	monarch
monarĥi/o	monarchy
monark/o	monarch
monarki/o	monarchy
monat/o	month
mond/o	world
moned/o	jack-daw, chough
monogram/o	
monolog/o	monologue
monomani/o	
monopol/o	monopoly
monoteism/o	
monoton/a	monotonous
monstr/o	monster
mont/o	mountain
montr/i	show (vb.)  AK
monument/o	monument
mops/o	pug-dog
mor/o	custom, usage  AK
moral/o	moral
morbil/o	measles
mord/i	bite
morfin/o	morphia
mort/i	die
morter/o	mortar
moru/o	codfish
morus/o	mulberry
mosk/o	musk
moske/o	mosque
moskit/o	mosquito
most/o	must
moŝt/o	universal title; e. g. vi/a reĝ/a moŝt/o your majesty; vi/a moŝt/o your honor
motiv/o	motive
motor/o	motor
mov/i	move
mozaik/o	
muel/i	grind, mill  AK
muf/o	muff
muĝ/i	roar (wind, etc.)  AK
muk/o	mucus  AK
mul/o	mule
muld/i	
mult/a	much, many
multiplik/i	to multiply
mumi/o	mummy
munici/o	ammunition
munt/i	to mount, fit up (machinery, apparatus), set (jewellery)
mur/o	wall
murd/i	to murder, kill unlawfully
murmur/i	murmur
mus/o	mouse
musk/o	moss
muskat/o	nutmeg
muskol/o	muscle
muslin/o	muslin
mustard/o	mustard
mustel/o	weasel, marten  AK
muŝ/o	fly (a)
mut/a	dumb
muz/o	muse
muze/o	museum
muzel/o	muzzle, snout (of animals, fish)
muzik/o	music
naci/o	nation
nadl/o	needle
naft/o	naphtha
naftalin/o	
naĝ/i	swim
naiv/a	artless
najbar/o	neighbour
najl/o	nail
najtingal/o	nightingale
nan/o	
nanken/o	nankeen, nankin
nap/o	cabbage-turnip  AK
narcis/o	daffodil
narkot/i	to narcotize
narkotik/o	narcotic
nas/o	hoop-net
nask/i	bear, produce
natri/o	natrium, sodium
natur/o	nature
naturalism/o	naturalism
naŭz/i	nauseate
nav/o	nave
navigaci/o	navigation
naz/o	nose
nebul/o	fog
neces/a	necessary
Nederland/o	
negativ/a	
neglekt/i	to neglect
negliĝ/o	neglige, loose-gown  AK
negoc/o	business
negr/o	negro
neĝ/o	snow
nekrolog/o	necrology, an obituary notice
nektar/o	nectar
neologism/o	
nep/o	grandson
nepotism/o	
nepr/a	without fail  AK
nerv/o	nerve
nervoz/a	nervous, fidgety, excitable, highly-strung
nest/o	nest
net/o	clean (as a copy), neat  AK
neŭtr/a	
neŭtral/a	
nev/o	nephew
niĉ/o	niche
nigr/a	black
nihilism/o	
nihilist/o	
Nikaragv/o	
nikel/o	nickel
Nikodem/o	
Nikola/o	
nikotin/o	
nilon/o	nylon
nimb/o	
nimf/o	nymph
nivel/o	level (sea, etc.)  AK
niz/o	sparrow-hawk
nobel/o	nobleman
nobl/a	noble
nod/o	knot
nokt/o	night
noktu/o	screech-owl
nom/o	name
nomad/o	
nombr/o	number
nominal/a	nominal
nominativ/o	nominative
nord/o	north
norm/o	
normal/a	normal
norveg/o	
nostalgi/o	nostalgia
not/o	make a note of, note  AK
notari/o	notary
nov/a	new
novel/o	short story
Novembr/o	November
novic/o	novice
nuanc/o	nuance, shade, hue  AK
nub/o	cloud
nud/a	nude, naked, bare  AK
nuk/o	nape (of neck)  AK
nuks/o	nut
nul/o	zero, nought  AK
numer/o	number (of a magazine, etc.)
numismatik/o	
nunci/o	nuncio
nutr/i	nourish, feed (trans.)  AK
oaz/o	oasis
obe/i	obey
obelisk/o	
objekt/o	object
objektiv/a	
oblat/o	wafer, seal  AK
obligaci/o	
oblikv/a	oblique
obol/o	
observ/i	observe
observatori/o	observatory
obstakl/o	obstacle, hindrance
obstin/a	obstinate
obstrukc/o	obstruction
obtuz/a	obtuse, dull, muffled
ocean/o	ocean
od/o	ode
odor/i	give out odour, smell  AK
ofend/i	offend
ofer/i	sacrifice, offer  AK
ofert/i	to offer, to tender (for sale or supply)
ofic/o	office, duty, function  AK
oficial/a	official
oficir/o	officer (mil. and nav., etc.)  AK
oft/a	often
ogiv/o	ogive
okaz/i	happen
okcident/o	west
oksid/o	oxide
oksigen/o	oxygen
oksikok/o	cranberry  AK
oktav/o	
Oktobr/o	October
okul/o	eye
okult/a	
okup/i	occupy
okzal/o	sorrel (plant)  AK
ole/o	oil
oleandr/o	oleander
oligarĥ/o	
oligarĥi/o	oligarchy
oligark/o	
oligarki/o	oligarchy
oliv/o	olive
omaĝ/o	
omar/o	lobster
ombr/o	shadow
ombrel/o	umbrella
omnibus/o	omnibus
ond/o	wave
oniks/o	
onkl/o	uncle
onobrik/o	esparcet
opal/o	opal
oper/o	opera
operaci/i	operation
opi/o	opium
opini/i	be of opinion, think  AK
opon/i	to oppose
oportun/a	opportune, suitable
opozici/i	
optativ/o	
optik/o	optics
optimism/o	
optimist/o	optimist
or/o	gold
orakol/o	oracle
oranĝ/o	orange
orator/o	orator
orbit/o	orbit (anat., astr.)
ord/o	order, arrange
orden/o	order (of knighthood etc.)  AK
ordinar/a	ordinary
ordon/i	order, command
orel/o	ear
orf/o	orphan
organ/o	organ
organik/a	
organism/o	organism
organiz/i	organize
orgasm/o	
orgen/o	organ (mus.)  AK
orgi/o	
orient/o	east, orient  AK
origin/o	origin
original/o	original
oriol/o	golden thrush
orkestr/o	orchestra
orkide/o	
ornam/i	ornament (vb.), adorn  AK
ornitolog/o	
ornitologi/o	ornithology
orografi/o	
ort/o	right angle
ortodoks/a	
ortografi/o	orthography
osced/i	yawn, gape  AK
ost/o	bone
ostr/o	oyster
ostracism/o	
ov/o	egg
ovaci/o	ovation
oval/o	oval
ozon/o	
pac/o	peace
pacienc/a	patience
pacient/o	patient
Pacifik/o	The Pacific
pacifism/o	pacifism
pacifist/o	pacifist
paĉul/o	patchouli
paf/i	shoot
pag/i	pay
pagod/o	
paĝ/o	page (book)  AK
paĝi/o	page (servant)  AK
pajl/o	straw
pak/o	pack, put up  AK
Pakistan/o	
pal/a	pale
palac/o	palace
palanken/o	
palat/o	palate
paleograf/o	
paleografi/o	
paleontolog/o	
paleontologi/o	
paletr/o	palette
palinur/o	rock lobster
palis/o	pale, stake
palisandr/o	rosewood
palm/o	palm-tree  AK
palp/i	touch, feel
palpebr/o	eyelid
palt/o	overcoat
pamflet/o	satirical pamphlet
pan/o	bread
Panam/o	
pane/o	breakdown, failure
panel/o	panel
panik/o	
pankreat/o	
panoram/o	
pantalon/o	trousers  AK
panteism/o	
panteist/o	
panter/o	panther
pantofl/o	slipper  AK
pantomim/o	pantomime
pap/o	pope
papag/o	parrot
papav/o	poppy
paper/o	paper
papili/o	butterfly
papirus/o	
paprik/o	
par/o	pair
parabol/o	
parad/i	parade, make a show  AK
paradigm/o	
paradiz/o	paradise
paradoks/o	
paraf/o	
parafin/o	paraffine
parafraz/o	
paragraf/o	paragraph
Paragvaj/o	
paralel/o	parallel
paralelogram/o	
paraliz/i	paralyse
paraŝut/o	parachute
parazit/o	parasite
pardon/i	forgive
parenc/o	relation
parentez/o	parenthesis
parfum/o	perfume, scent  AK
parget/o	parquetry  AK
Pariz/o	
park/o	park
parker/e	by heart  AK
parlament/o	parliament
parodi/o	parody
paroĥ/o	parish
paroksism/o	paroxysm
parol/i	speak
part/o	part
parter/o	pit (theatre), ground-floor  AK
parti/o	party, faction  AK
particip/o	participle
partitur/o	partition, score
paru/o	tomtit, titmouse  AK
pas/i	pass (intr.)  AK
pasaĝer/o	passenger
pasament/o	braid-trimmings, passementerie  AK
paser/o	sparrow
pasi/o	passion (not anger)  AK
pasiv/a	passive
Pask/o	Easter
paskvil/o	pasquinade
pasport/o	passport  AK
past/o	dough, paste  AK
pasteĉ/o	tart, pie, pasty  AK
pastel/o	lozenge  AK
pastinak/o	parsnip
pastr/o	priest, pastor
paŝ/i	step, pace  AK
paŝt/i	feed (animals), graze, pasture (trans.)  AK
paŝtel/o	pastel, coloured crayon
pat/o	frying-pan
patent/o	patent
patolog/o	
patologi/o	
patos/o	pathos, passion
patr/o	father
patrici/o	patrician
patriot/o	patriot
patriotism/o	patriotism
patrol/o	patrol
patron/o	patron
Paŭl/o	
paŭz/i	pause
pav/o	peacock  AK
pavian/o	baboon
pavilon/o	
pavim/o	pavement
pec/o	piece
peĉ/o	pitch
pedagog/o	pedagogue
pedagogi/o	pedagogy, education of children
pedal/o	pedal
pedant/a	pedant
pedel/o	beadle
pedik/o	louse
peg/o	woodpecker  AK
pejzaĝ/o	landscape
pek/i	sin
pekl/i	pickle in brine, salt (vb.)  AK
pel/i	drive, chase (vb.)  AK
pelerin/o	tippet, pelerine
pelikan/o	pelican
pelt/o	fur
pelv/o	basin, pelvis
pen/i	endeavour, try to  AK
penc/o	penny
pend/i	hang (intr.)  AK
pendol/o	pendulum  AK
penetr/i	penetrate
penicilin/o	
penik/o	paintbrush
penis/o	
pens/i	think
pensi/o	pension
pension/o	boarding-house
pent/i	repent
pentametr/o	
pentekost/o	Pentecost, Whitsuntide
pentr/i	paint (vb.)  AK
peoni/o	peony
pep/i	chirp, warble  AK
pepsin/o	pepsine
percept/o	perception
perĉ/o	pope, ruffe (fish) (acerina vulg.)  AK
perd/i	lose
perdrik/o	partridge
pere/i	perish
perfekt/a	perfect
perfid/i	betray
pergamen/o	parchment
perimetr/o	
period/o	period
periskop/o	
peristil/o	
peritone/o	peritoneum
perk/o	perch (fish)  AK
perl/o	pearl
perlamot/o	mother of pearl
permes/i	permit, allow
peron/o	door-stop, platform (in a station, etc.)  AK
persekut/i	persecute, prosecute  AK
persik/o	peach
persist/i	persist
person/o	person
perspektiv/o	perspective
persvad/i	
Peru/o	
peruk/o	wig
pes/i	weigh (vb. act.)
pesimism/o	
pesimist/o	
pest/o	plague
pet/i	request, beg
petal/o	
petard/o	
petol/i	be mischievous, romp, wanton  AK
Petr/o	
petrol/o	petroleum  AK
petromiz/o	lamprey
petrosel/o	parsley
pez/a	weigh (vb. neut.)
pfenig/o	pfennig
pi/a	pious
pian/o	piano
piastr/o	
pic/o	
pice/o	silver fir-tree  AK
pied/o	foot (body)  AK
piedestal/o	pedestal
pig/o	magpie
pigme/o	pygmy
piĵam/o	
pik/i	prick, sting; spade (cards)  AK
piked/o	picket (milit.), piquet (cards)  AK
piknik/o	
pil/o	(electric) pile
pilastr/o	
pilgrim/i	go on a pilgrimage
pilk/o	ball (to play with)
pilol/o	pill
pilot/o	pilot, loadsmann
pin/o	pine-tree
pinĉ/i	pinch
pingl/o	pin
pingven/o	
pini/o	Siberian cedar  AK
pint/o	point, tip, peak
pioĉ/o	pickaxe, mattock
pionir/o	pioneer
pip/o	pipe (tobacco)
pipr/o	pepper
pips/o	pip (poultry disease)  AK
pir/o	pear
piramid/o	pyramid
pirat/o	pirate
pirit/o	gravel, pyrites
pirol/o	bullfinch
piroz/o	pirosis (med)  AK
pis/i	
pist/i	pound, bray (in a mortar)  AK
pistak/o	pistachio-nut
pistil/o	
pistol/o	pistol
piŝt/o	piston, sucker
pivot/o	pivot
piz/o	pea
plac/o	public square
plaĉ/i	be pleasing, please (intr.)  AK
plad/o	dish, platter  AK
plafon/o	ceiling
plag/o	plague, calamity
plagiat/o	plagiarism
plan/o	plan
pland/o	sole (of the foot)
planed/o	planet
plank/o	floor
planto, plant/	plant (vb.)
plantag/o	plantain (bot.)
plast/o	plastic (material)
plastik/o	plastic art
plastr/o	plaster (med.)  AK
plat/a	flat, plain
platan/o	plane-tree
platen/o	platina
plaŭd/i	splash, clap
pleb/o	the plebeians, common people, lower orders
pled/i	
plekt/i	weave, plait
plen/a	full, complete  AK
plend/i	complain
pleonasm/o	
plet/o	tray, salver  AK
pleŭronekt/o	brill
plezur/o	pleasure
plik/o	Polish ringworm  AK
plonĝ/i	to dive, to plunge
plor/i	mourn, weep
plot/o	roach (fish.)  AK
plug/i	plough (vb.)  AK
plum/o	feather, pen  AK
plumb/o	lead (metall)
plur/aj	several
plural/o	plural (gram.)
pluŝ/o	plush
plutokrat/o	
plutokrati/o	plutocracy
pluv/o	rain
pneŭmatik/o	pneumatics
podagr/o	gout
podi/o	podium, stage
poem/o	poem
poent/o	point (in games)  AK
poet/o	poet
poezi/o	poetry
pokal/o	cup, goblet
pol/o	
polemik/o	polemics
polen/o	
polic/o	police (the system)  AK
poliglot/o	
poligon/o	buckwheat
Polinezi/o	
polip/o	
polis/o	
politeism/o	
politik/o	politics
polk/o	polka
polp/o	
polur/o	polish, gloss  AK
polus/o	pole (geol.)  AK
polv/o	dust (subst.)  AK
pom/o	apple
pomad/o	pomatum
pomp/o	
ponard/o	dagger, poniard
pont/o	bridge
ponton/o	
popl/o	poplar
popol/o	people
popular/a	
por/o	pore
porcelan/o	china, porcelain  AK
porci/o	portion
pord/o	door
pore/o	leek
porfir/o	porphyry
pork/o	pig  AK
port/i	carry  AK
portal/o	
porter/o	porter, beer  AK
portik/o	
portret/o	portrait
posed/i	possess
posten/o	post (milit.)  AK
postul/i	require, claim
poŝ/o	pocket
poŝt/o	post (the system)  AK
pot/o	pot
potas/o	potash
potenc/o	might, power
pov/i	be able, can
poz/i	pose
pozici/o	position
pozitiv/a	positive
praktik/o	practice (of a profession)  AK
pram/o	ferry-boat, praam  AK
prav/a	right (to be in the right)
precip/a	particularly
preciz/a	precise
predik/i	preach
predikat/o	predicate (gram.)  AK
prefekt/o	prefect
prefer/i	prefer
prefiks/o	prefix
preĝ/i	pray
prelat/o	prelate
preleg/i	to lecture
prelud/o	prelude
prem/i	press
premi/o	prize, reward (subst.)  AK
premis/o	
pren/i	take
prepar/i	prepare
prepozici/o	preposition
prerogativ/o	
pres/i	print (vb.)
preskrib/i	to prescribe
prestiĝ/o	
pret/a	ready
pretekst/o	pretext
pretend/i	lay claim to  AK
preterit/o	
prez/o	price
prezent/i	present (vb.), introduce (a person)  AK
prezid/i	preside
primitiv/a	
primol/o	primrose
princ/o	prince
princip/o	principle
printemp/o	springtime  AK
prior/o	
prism/o	prism
privat/a	private
privilegi/o	privilege
probabl/a	probable
problem/o	problem
proced/i	to proceed
procedur/o	
proces/o	lawsuit, process
procesi/o	procession
produkt/o	produce
profan/i	profane
profesi/o	profession
profesor/o	professor
profet/o	prophet
profil/o	profile
profit/o	profit, gain
profund/a	deep
prognoz/o	prognosis
program/o	programme
progres/i	advance, progress
projekci/o	projection
projekt/o	project
proklam/i	proclaim
prokrast/i	delay, defer  AK
proksim/a	near
prolet/o	proletarian
proletari/o	proletarian
prolog/o	prologue
promen/i	to walk, promenade  AK
promes/i	promise
promontor/o	promontory, cape
pronom/o	pronoun
prononc/i	to pronounce
propagand/i	propaganda
propon/i	propose, suggest
proporci/o	proportion
propozici/o	sentence
propr/a	own (one’s own)
prospekt/o	prospectus
prosper/i	to succeed in  AK
prostat/o	
prostitu/i	
protagonist/o	
protein/o	
protekt/i	protect, patronise
protektorat/o	
protest/i	protest
protokol/o	minutes of proceedings
prototip/o	
prov/i	attempt, try to  AK
proverb/o	proverb
Providenc/o	Providence
provinc/o	province
proviz/o	provide
provizor/a	provisional
provok/i	to provoke, defy, challenge
proz/o	prose
prozelit/o	
prozodi/o	prosody
prudent/a	reasonable  AK
prujn/o	rime, hoar frost
prun/o	plum
prunel/o	sloe
prunt/o	borrow, loan  AK
pruv/i	prove, demonstrate
psalm/o	psalm
pseŭdonim/o	
psikolog/o	
psikologi/o	
pub/o	
publik/o	public
pudel/o	spaniel
puding/o	pudding
pudr/o	powder (cosmetic)  AK
puf/o	stuffing, puff
pugn/o	fist
pul/o	flea
pulĉinel/o	punchinello
pulm/o	lung
pulp/o	
puls/o	pulse
pulv/o	gunpowder
pulvor/o	powder (med. or chem.)  AK
pumik/o	pumice-stone
pump/i	pump (vb.)  AK
pun/i	punish
punc/a	crimson red
punĉ/o	punch (drink)  AK
pund/o	
punkt/o	full stop, dot, point  AK
punt/o	lace (point, etc.)  AK
pup/o	doll
pupil/o	pupil (eye)  AK
pupitr/o	reading-desk
pur/a	clean, pure  AK
purgatori/o	purgatory
puritan/o	
purpur/o	purple
pus/o	pus, matter
pustul/o	pustule
puŝ/i	push
put/o	well (subst.)
putor/o	pole-cat, skunk  AK
putr/i	rot, putrify  AK
rab/i	rob
rabarb/o	rhubarb
rabat/o	rebate, discount
raben/o	Jewish rabbi
rabi/o	rabid, rabies
rabot/i	plane (vb.)  AK
raci/o	rational
racionalism/o	
racionalist/o	
rad/o	wheel
radar/o	
radi/o	beam, ray
radiator/o	radiator
radik/o	root
radikal/a	radical
radiograf/i	
rafan/o	radish
rafin/i	refine
raj/o	ray (fish)
rajd/i	ride
rajt/o	right, authority
raked/o	
raket/o	rocket
rakont/i	tell, relate
ramp/i	crawl
ran/o	frog
ranc/a	rancid
rand/o	edge, border, hem (s.)  AK
rang/o	rank, dignity
ranunkol/o	ranunculus
rap/o	turnip
rapid/a	quick, rapid
rapir/o	rapier, foil  AK
raport/i	report
ras/o	breed
rasp/i	rasp, grate (vb.)  AK
rast/i	rake (vb.)  AK
rat/o	rat
raŭk/a	hoarse
raŭp/o	caterpillar
rav/i	enrapture, delight  AK
raz/i	shave
reakci/o	reaction
real/a	real
realism/o	realism
rebus/o	rebus
recenz/i	to criticize, to write a review of
recept/o	recipe, prescription
reciprok/a	mutual, reciprocal
recitativ/o	
redakci/o	editorial department  AK
redakt/i	edit, draw up
redaktor/o	compiler, editor
redukt/i	to reduce (math., chem.)
ref/o	reef (in a sail)
referenc/o	reference
reflekt/i	to reflect (phys.)
reformaci/o	reformation
refut/i	refute
reg/i	rule, govern  AK
regal/i	entertain, regale
regent/o	a regent
regiment/o	regiment
region/o	district, region, part  AK
registr/o	register
regn/o	State (the)  AK
regol/o	wren
regul/o	rule (subst.)  AK
reĝ/o	king
reĝim/o	regime
reĝisor/o	
reklam/i	advertisement
rekomend/i	recommend
rekompenc/o	reward
rekord/o	
rekrement/o	recrement, husks, draff
rekrut/o	recruit
rekt/a	straight
rektor/o	
rel/o	a rail  AK
relativ/a	
relief/o	relief
religi/o	religion
rem/i	row (vb.)
rembur/i	quilt (vb.), stuff, pad  AK
rempar/o	rampart
ren/o	kidney
rendevu/o	appointment
renesanc/o	
renkont/i	meet
rent/o	yearly income  AK
renvers/i	upset
repertuar/o	repertory
reputaci/o	reputation
respekt/i	respect
respektiv/a	
respond/i	reply
respublik/o	republic
resto, rest/i	remain
restoraci/o	eating-house
ret/o	net (a)  AK
retin/o	retina
retor/o	
retorik/o	rhetoric
retort/o	retort (chem.)
reŭmatism/o	
rev/i	dream (vb.)  AK
revelaci/o	revelation
revizi/i	to revise
revizor/o	government inspector, inspector-general
revoluci/i	revolution
revolver/o	revolver
revu/o	
rezed/o	mignonette
rezerv/o	reserve
rezign/i	to resign
rezignaci/o	resignation
rezin/o	resin
rezist/i	to resist
rezoluci/o	
rezon/i	to reason
rezult/i	
rezultat/o	result
rib/o	currant
ribel/i	revolt, rebel (vb.)  AK
ricev/i	obtain, get, receive
ricin/o	castor-oil (plant)
riĉ/a	rich
rid/i	laugh
rif/o	reef  AK
rifuĝ/i	take refuge, shelter  AK
rifuz/i	refuse
rigard/i	behold, look at
rigid/a	stiff, rigid
rigl/i	bolt (vb.)  AK
rigor/a	rigorous
rikan/i	to grin
rikolt/i	reap
rilat/i	relate to  AK
rim/o	rhyme
rimark/i	remark
rimed/o	means, remedy
rimen/o	strap (a)  AK
ring/o	ring (subst.)
rinocer/o	rhinoceros
rip/o	rib
ripar/i	repair
ripet/i	repeat
ripoz/i	repose
riproĉ/i	reproach
risk/i	risk
rism/o	ream
risort/o	spring (s.) (mech.)  AK
rit/o	rite
ritm/o	rhythm
rivel/i	to reveal, to develop (phot.)
river/o	river
riverenc/i	curtsey  AK
rivolu/o	revolution (around an axis)
riz/o	rice
rob/o	robe, gown
robot/o	
rod/o	landing-place (mar.)  AK
rojalist/o	royalist
rok/o	rock
rokok/o	
rol/o	part (in a play)
roman/o	romance
romanc/o	
romantik/o	
romb/o	rhomb
romp/i	break
rond/o	round, circle
ronĝ/i	
ronk/i	snore
ros/o	dew
rosmar/o	walrus  AK
rosmaren/o	rosemary
rost/i	roast
rostr/o	trunk (proboscis)  AK
rot/o	troop, company (soldiers)  AK
rotaci/i	
rotond/o	
roz/o	rose
rozari/o	rosary
rub/o	rubbish
ruband/o	ribbon
ruben/o	ruby
rubl/o	rouble
rubrik/o	rubric
rubus/o	blackberry
ruĝ/a	red
ruin/o	ruins, a ruin  AK
rukt/i	eructation  AK
rulo, rul/i	roll
rulet/o	
rum/o	rum
ruman/o	
rus/o	
rust/o	rust
rut/o	rue
rutin/o	routine
ruz/a	cunning, sly  AK
sabat/o	Saturday
sabl/o	sand
sabr/o	sabre
sacerdot/o	Roman Catholic priest
safir/o	saphire
safran/o	saffron
sag/o	arrow
sagac/a	subtle, crafty, sharp
sagu/o	
saĝ/a	wise
sak/o	sack
sakr/o	sacrum (anat.)  AK
sakrament/o	sacrament
sakristi/o	
saksofon/o	
sal/o	salt
salajr/o	wages, salary
salamandr/o	salamander
salat/o	salad  AK
sald/o	balance of account
salik/o	willow
salikok/o	
saliv/o	spittle
salm/o	salmon
salon/o	drawing-room  AK
salpetr/o	saltpetre
salt/i	leap, jump
salut/i	salute, greet
salv/o	
salvi/o	sage
sam/a	same
sambuk/o	elder-tree  AK
samovar/o	
san/a	healthy
sandal/o	sandal
sandviĉ/o	sandwich
sang/o	blood
sankci/o	sanction
sankt/a	sacred, holy  AK
santal/o	sandal-wood
sap/o	soap
sardel/o	sardine  AK
sark/i	weed (vb.)  AK
sarkasm/o	sarcasm
sarkofag/o	
sat/a	satiated
satan/o	satan
satelit/o	
saten/o	satin
satir/o	satire
satrap/o	satrap
satur/i	saturate  AK
saŭc/o	sauce
sav/i	save, rescue  AK
scen/o	scene
sceptr/o	sceptre
sci/i	know
scienc/o	science
sciur/o	squirrel
seb/o	tallow, suet  AK
seg/i	saw (vb.)  AK
segment/o	
